ID,Material_ID,matk,def,mdef,str,vit,atk,drainAtk,int,parAtk,crit,drainRes,psnAtk,sickAtk,slpAtk,sealAtk,psnRes,sealRes,parRes,slpRes,ftgRes,sickRes,diz,knockAtk,faintRes,dizRes,critRes,knockRes,knock,stun,ftgAtk,faintAtk,upgradeEffct,effect,fireRes,waterRes,windRes,earthRes
6094,1094,,8,4,,,,,,,,,,,0.01,,,,,,,,,,,0.16,,,,,,,,,,,,,
6095,1095,,10,5,,,,,,,,,,,0.03,,,,,,,,,,,0.25,,,,,,,,,,,,,
6096,1096,,30,8,,,,,,,,,,,,,,,,,,,,,,0.18,,,,,,,,,,,,,
6097,1097,,105,35,,,10,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,
6098,1098,10,35,105,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,
6099,1099,,110,60,,,25,,-5,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,
6100,1100,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6101,1101,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6102,1102,5,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6103,1103,2,,2,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,
6104,1104,10,,,,,,,,,,0.5,0.33,,,0.33,,,,,,,,,,,,,,,,,,,,,,,
6105,1105,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6106,1106,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6107,1107,15,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,0.1,,,,,,,,
6108,1108,,33,33,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6109,1109,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6110,1110,,,,10,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6111,1111,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6112,1112,80,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6113,1113,,,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6114,1114,170,-10,30,,,30,,,0.1,,,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,0.1,0.01,,,,,,,
6115,1115,,1,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,
6116,1116,,1,,,,,,,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,
6117,1117,,3,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,
6118,1118,,3,,,,,,,,,,,,,,,0.05,0.25,,,,,,,,,,,,,,,,,,,,
6119,1119,,5,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,
6120,1120,,52,35,,,,,,,,,,,,,,0.3,,,,,,,,0.1,0.1,,,,,,,,,,,,
6121,1121,,9,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,
6122,1122,,8,,,,3,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,
6123,1123,,12,,,,6,,,,,,,,,,,,,,,,,,,,0.08,,,,,,,,,,,,
6124,1124,,96,48,,,,,,,,,,,,,,0.3,,,,,,,,0.15,0.15,,,,,,,,,,,,
6125,1125,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6126,1126,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6127,1127,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6128,1128,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6129,1129,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6130,1130,2,,,,,15,,,0.05,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,
6131,1131,1,-5,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6132,1132,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6133,1133,2,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6134,1134,,-5,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6135,1135,,-2,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6136,1136,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6137,1137,,-5,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6138,1138,15,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6139,1139,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6140,1140,,,,,,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6141,1141,40,10,10,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6142,1142,,-50,,,,195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6143,1143,180,,,,,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6144,1144,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6145,1145,,,,10,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6146,1146,,,,140,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6147,1147,,,,,10,,,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6148,1148,,,,70,10,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6149,1149,,,,50,50,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6150,1150,,,,10,70,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6151,1151,,,,50,160,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6152,1152,,,,300,,,,-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6153,1153,,,,-10,300,,,-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6154,1154,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6155,1155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
6156,1156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,
6157,1157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Increase attack range,,,,,
6158,1158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Makes item invisible,,,,,
6159,1159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Change weapon Category,,,,,
6160,1160,,,,120,120,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6161,1161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Decrease enemy tolerance on hit,,,,,
6162,1162,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,Increase attack range,,,,,
6163,1163,90,,,,,128,,-5,,0.02,,,,,,,,,,,,1,,,,,,,0.05,,,,,,,,,
6164,1164,,,,,,22,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,
6165,1165,17,,,,,7,,,,,,,0.15,,,,,,,,,,,,,,,,,0.2,,,,,,,,
6166,1166,,4,7,,,,,,,,0.15,,,,,,0.15,0.15,,,,,,,,,,,,,,,,,,,,
6167,1167,,,,58,,,,5,,,,,,,,,,,,,,,,0.15,,,,,,,,,,,,,,
6168,1168,,,,15,,,,48,,,,,,,,,,,,,,,,0.15,,,,,,,,,,,,,,
6169,1169,,,,,,,,-5,,,,,,,,,,,,,,,,,,,,0.3,,,,,,,,,,
6170,1170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6171,1171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6172,1172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6173,1173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6174,1174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6175,1175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6176,1176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6177,1177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6178,1178,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6179,1179,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6180,1180,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6181,1181,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6182,1182,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6183,1183,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6184,1184,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6185,1185,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6186,1186,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6187,1187,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6188,1188,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6189,1189,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6190,1190,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6191,1191,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6192,1192,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6193,1193,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6194,1194,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6195,1195,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6196,1196,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,
6197,1197,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,
6198,1198,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,
6199,1199,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,
6200,1200,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6201,1201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6202,1202,,,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6203,1203,,,,4,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6204,1204,,,,,4,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6205,1205,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6206,1206,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6207,1207,,,,,1,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,
6208,1208,,,,,1,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,
6209,1209,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6210,1210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6211,1211,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6212,1212,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,
6213,1213,,,,,1,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,
6214,1214,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6215,1215,10,,10,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,
6216,1216,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6217,1217,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6218,1218,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6219,1219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6220,1220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6221,1221,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,
6222,1222,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6223,1223,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,
6224,1224,,,,,,,,,,,,0.03,,,,0.05,,,,,,,,,,,,,,,,,,,,,,
6225,1225,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,
6226,1226,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,
6227,1227,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,
6228,1228,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,
6229,1229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6230,1230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6231,1231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6232,1232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6233,1233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6234,1234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6235,1235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6236,1236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6237,1237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6238,1238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6239,1239,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
