ID,Material_ID,Location_ID,Monster_ID
5231,1100,2015,3116
5232,1100,2009,3116
5233,1100,2019,3117
5234,1101,2002,3118
5235,1101,2019,3119
5236,1102,2005,3030
5237,1102,2000,3120
5238,1102,2008,3032
5239,1103,2015,3116
5240,1103,2009,3116
5241,1103,2019,3117
5242,1104,2019,3117
5243,1105,2010,3038
5244,1105,2011,3039
5245,1105,2015,3040
5246,1105,2001,3043
5247,1105,2009,3121
5248,1106,2016,3020
5249,1106,2000,3020
5250,1107,2001,3122
5251,1108,2000,3123
5252,1109,2025,3124
5253,1109,2012,3016
5254,1109,2011,3022
5255,1109,2012,3021
5256,1110,2001,3125
5257,1111,2002,3118
5258,1112,2011,3126
5259,1113,2013,3127
5260,1114,2017,3128
5261,1115,2008,3031
5262,1115,2020,3029
5263,1115,2005,3029
5264,1115,2008,3051
5265,1116,2020,3129
5266,1116,2029,3129
5267,1116,2005,3129
5268,1116,2008,3129
5269,1116,2024,3129
5270,1116,2005,3037
5271,1116,2019,3037
5272,1116,2008,3130
5273,1116,2008,3131
5274,1116,2009,3088
5275,1116,2028,3132
5276,1117,2002,3095
5277,1117,2006,3034
5278,1117,2006,3035
5279,1117,2000,3075
5280,1117,2010,3133
5281,1117,2009,3134
5282,1118,2020,3129
5283,1118,2029,3129
5284,1118,2005,3129
5285,1118,2008,3129
5286,1118,2024,3129
5287,1118,2028,3132
5288,1118,2005,3037
5289,1118,2019,3037
5290,1118,2011,3086
5291,1118,2017,3087
5292,1118,2001,3045
5293,1118,2008,3131
5294,1118,2001,3060
5295,1118,2008,3130
5296,1119,2009,3079
5297,1119,2009,3081
5298,1120,2018,3135
5299,1121,2003,3073
5300,1121,2000,3052
5301,1122,2001,3092
5302,1122,2002,3136
5303,1122,2028,3137
5304,1123,2011,3138
5305,1124,2004,3139
5306,1125,2020,3129
5307,1125,2029,3129
5308,1125,2005,3129
5309,1125,2008,3129
5310,1125,2024,3129
5311,1125,2008,3131
5312,1125,2001,3060
5313,1125,2008,3130
5314,1126,2006,3110
5315,1127,2008,3111
5316,1127,2011,3111
5317,1128,2028,3105
5318,1128,2015,3107
5319,1129,2001,3092
5320,1129,2011,3138
5321,1129,2009,3140
5322,1130,2007,3058
5323,1131,2027,3141
5324,1131,2000,3141
5325,1131,2011,3142
5326,1132,2028,3137
5327,1133,2011,3142
5328,1134,2011,3086
5329,1135,2002,3143
5330,1135,2002,3144
5331,1136,2011,3109
5332,1137,2002,3144
5333,1138,2002,3057
5334,1139,2004,3145
5335,1139,2025,3146
5336,1139,2023,3147
5337,1139,2018,3148
5338,1139,2003,3149
5339,1139,2002,3150
5340,1139,2025,3151
5341,1139,2028,3152
5342,1139,2023,3153
5343,1139,2023,3154
5344,1139,2025,3155
5345,1140,2028,3105
5346,1140,2003,3106
5347,1141,2028,3132
5348,1142,2017,3087
5349,1143,2023,3154
5350,1144,2011,3071
5351,1145,2018,3148
5352,1145,2004,3148
5353,1145,2023,3154
5354,1146,2028,3152
5355,1146,2004,3152
5356,1147,2025,3146
5357,1147,2004,3146
5358,1148,2025,3155
5359,1148,2004,3155
5360,1149,2025,3151
5361,1149,2004,3151
5362,1150,2004,3145
5363,1151,2003,3149
5364,1152,2023,3147
5365,1153,2023,3153
5366,1154,2023,3067
5367,1155,2003,3156
5368,1156,2003,3156
5369,1160,2002,3157
5370,1160,2004,3026
5371,1161,2003,
5372,1161,2006,
5373,1162,2030,
5374,1162,2031,3158
5375,1163,2013,3004
5376,1164,2022,3064
5377,1165,2009,3121
5378,1166,2006,3085
5379,1167,2003,3073
5380,1168,2003,3074
5381,1169,2004,3026
5382,1170,2011,
5383,1174,2001,3036
5384,1174,2012,3036
5385,1174,2019,3028
5386,1174,2015,3112
5387,1174,2002,3066
5388,1174,2007,3033
5389,1175,2016,3096
5390,1175,2003,3096
5391,1175,2016,3097
5392,1175,2003,3097
5393,1207,2005,3082
5394,1207,2023,3082
5395,1229,2006,
5396,1229,2024,
5397,1229,2001,
5398,1230,2010,
5399,1230,2024,
5400,1230,2001,
5401,1231,2009,
5402,1231,2024,
5403,1231,2001,
5404,1232,2015,
5405,1232,2024,
5406,1232,2001,
5407,1233,2019,
5408,1233,2005,
5409,1233,2024,
5410,1233,2001,
5411,1234,2032,
5412,1234,2019,
5413,1234,2024,
5414,1234,2001,
5415,1235,2019,
5416,1235,2024,
5417,1235,2001,
5418,1236,2008,
5419,1236,2024,
5420,1236,2001,
5421,1237,2011,
5422,1237,2024,
5423,1237,2001,
5424,1238,2030,
